FIPS,Datetime,Cases
22019,2020-03-25 12:03:00,5
22025,2020-03-25 12:03:00,1
22027,2020-03-25 12:03:00,2
22031,2020-03-25 12:03:00,6
22033,2020-03-25 12:03:00,58
22039,2020-03-25 12:03:00,2
22043,2020-03-25 12:03:00,1
22045,2020-03-25 12:03:00,2
22047,2020-03-25 12:03:00,14
22051,2020-03-25 12:03:00,293
22055,2020-03-25 12:03:00,12
22057,2020-03-25 12:03:00,16
22061,2020-03-25 12:03:00,2
22063,2020-03-25 12:03:00,6
22069,2020-03-25 12:03:00,2
22071,2020-03-25 12:03:00,675
22073,2020-03-25 12:03:00,7
22075,2020-03-25 12:03:00,8
22079,2020-03-25 12:03:00,10
22083,2020-03-25 12:03:00,1
22087,2020-03-25 12:03:00,19
22089,2020-03-25 12:03:00,15
22093,2020-03-25 12:03:00,9
22095,2020-03-25 12:03:00,21
22097,2020-03-25 12:03:00,3
22099,2020-03-25 12:03:00,1
22101,2020-03-25 12:03:00,2
22103,2020-03-25 12:03:00,52
22105,2020-03-25 12:03:00,4
22109,2020-03-25 12:03:00,14
22115,2020-03-25 12:03:00,2
22117,2020-03-25 12:03:00,3
22119,2020-03-25 12:03:00,3
22121,2020-03-25 12:03:00,5
23001,2020-03-25 12:03:00,3
23005,2020-03-25 12:03:00,74
23011,2020-03-25 12:03:00,5
23013,2020-03-25 12:03:00,1
23015,2020-03-25 12:03:00,5
23017,2020-03-25 12:03:00,6
23019,2020-03-25 12:03:00,4
23023,2020-03-25 12:03:00,3
23027,2020-03-25 12:03:00,1
23031,2020-03-25 12:03:00,16
24003,2020-03-25 12:03:00,24
24005,2020-03-25 12:03:00,42
24510,2020-03-25 12:03:00,41
24009,2020-03-25 12:03:00,3
24011,2020-03-25 12:03:00,1
24013,2020-03-25 12:03:00,5
24015,2020-03-25 12:03:00,3
24017,2020-03-25 12:03:00,5
24021,2020-03-25 12:03:00,4
24023,2020-03-25 12:03:00,3
24025,2020-03-25 12:03:00,5
24027,2020-03-25 12:03:00,30
24031,2020-03-25 12:03:00,107
24033,2020-03-25 12:03:00,63
24035,2020-03-25 12:03:00,1
24039,2020-03-25 12:03:00,1
24037,2020-03-25 12:03:00,2
24041,2020-03-25 12:03:00,1
24043,2020-03-25 12:03:00,2
24045,2020-03-25 12:03:00,4
24047,2020-03-25 12:03:00,2
25001,2020-03-25 12:03:00,40
25003,2020-03-25 12:03:00,37
25005,2020-03-25 12:03:00,31
25009,2020-03-25 12:03:00,118
25011,2020-03-25 12:03:00,5
25013,2020-03-25 12:03:00,24
25015,2020-03-25 12:03:00,8
25017,2020-03-25 12:03:00,304
25019,2020-03-25 12:03:00,2
25021,2020-03-25 12:03:00,129
25023,2020-03-25 12:03:00,64
25025,2020-03-25 12:03:00,234
25027,2020-03-25 12:03:00,73
26005,2020-03-25 12:03:00,1
26015,2020-03-25 12:03:00,1
26017,2020-03-25 12:03:00,2
26021,2020-03-25 12:03:00,8
26025,2020-03-25 12:03:00,4
26029,2020-03-25 12:03:00,3
26033,2020-03-25 12:03:00,1
26035,2020-03-25 12:03:00,1
26037,2020-03-25 12:03:00,5
26045,2020-03-25 12:03:00,3
26047,2020-03-25 12:03:00,2
26049,2020-03-25 12:03:00,34
26051,2020-03-25 12:03:00,2
26055,2020-03-25 12:03:00,3
26059,2020-03-25 12:03:00,1
26065,2020-03-25 12:03:00,15
26073,2020-03-25 12:03:00,2
26075,2020-03-25 12:03:00,6
26077,2020-03-25 12:03:00,3
26079,2020-03-25 12:03:00,1
26081,2020-03-25 12:03:00,31
26087,2020-03-25 12:03:00,1
26089,2020-03-25 12:03:00,1
26093,2020-03-25 12:03:00,13
26099,2020-03-25 12:03:00,225
26101,2020-03-25 12:03:00,1
26111,2020-03-25 12:03:00,5
26115,2020-03-25 12:03:00,12
26117,2020-03-25 12:03:00,1
26121,2020-03-25 12:03:00,3
26123,2020-03-25 12:03:00,2
26125,2020-03-25 12:03:00,428
26137,2020-03-25 12:03:00,5
26139,2020-03-25 12:03:00,15
26143,2020-03-25 12:03:00,1
26145,2020-03-25 12:03:00,8
26147,2020-03-25 12:03:00,8
26157,2020-03-25 12:03:00,1
26161,2020-03-25 12:03:00,50
26163,2020-03-25 12:03:00,873
26165,2020-03-25 12:03:00,1
27003,2020-03-25 12:03:00,7
27009,2020-03-25 12:03:00,1
27011,2020-03-25 12:03:00,1
27013,2020-03-25 12:03:00,5
27019,2020-03-25 12:03:00,8
27021,2020-03-25 12:03:00,1
27025,2020-03-25 12:03:00,2
27027,2020-03-25 12:03:00,3
27037,2020-03-25 12:03:00,21
